Bin Id	Bin size (Mbp)	FDP_S45.sorted: mapped reads	FDP_S45.sorted: % mapped reads	FDP_S45.sorted: % binned populations	FDP_S45.sorted: % community	FDQ_S46.sorted: mapped reads	FDQ_S46.sorted: % mapped reads	FDQ_S46.sorted: % binned populations	FDQ_S46.sorted: % community	FDR_S47.sorted: mapped reads	FDR_S47.sorted: % mapped reads	FDR_S47.sorted: % binned populations	FDR_S47.sorted: % community	FDS_S48.sorted: mapped reads	FDS_S48.sorted: % mapped reads	FDS_S48.sorted: % binned populations	FDS_S48.sorted: % community	FDT_S49.sorted: mapped reads	FDT_S49.sorted: % mapped reads	FDT_S49.sorted: % binned populations	FDT_S49.sorted: % community	FDU_S50.sorted: mapped reads	FDU_S50.sorted: % mapped reads	FDU_S50.sorted: % binned populations	FDU_S50.sorted: % community	FDV_S51.sorted: mapped reads	FDV_S51.sorted: % mapped reads	FDV_S51.sorted: % binned populations	FDV_S51.sorted: % community	FDW_S52.sorted: mapped reads	FDW_S52.sorted: % mapped reads	FDW_S52.sorted: % binned populations	FDW_S52.sorted: % community	FDX_S53.sorted: mapped reads	FDX_S53.sorted: % mapped reads	FDX_S53.sorted: % binned populations	FDX_S53.sorted: % community	FDY_S54.sorted: mapped reads	FDY_S54.sorted: % mapped reads	FDY_S54.sorted: % binned populations	FDY_S54.sorted: % community	FDZ_S55.sorted: mapped reads	FDZ_S55.sorted: % mapped reads	FDZ_S55.sorted: % binned populations	FDZ_S55.sorted: % community	FEA_S56.sorted: mapped reads	FEA_S56.sorted: % mapped reads	FEA_S56.sorted: % binned populations	FEA_S56.sorted: % community
VAMB_3261	2.249877	23	5.63666982116e-05	6.10347794511e-05	6.10347794511e-05	232741	0.770635018208	0.849925843996	0.849925843996	0	0.0	0.0	0.0	0	0.0	0.0	0.0	158	0.000529274472563	0.000579381332349	0.000579381332349	25	8.17627365739e-05	8.89682319471e-05	8.89682319471e-05	15	3.17387032962e-05	3.55226296615e-05	3.55226296615e-05	4	9.88791700003e-06	1.08676676036e-05	1.08676676036e-05	62	0.000181269514613	0.000210638590813	0.000210638590813	3	9.81046797208e-06	1.09240715773e-05	1.09240715773e-05	27	6.58945919357e-05	7.37812659074e-05	7.37812659074e-05	4	1.02550182034e-05	1.07049520734e-05	1.07049520734e-05
VAMB_3321	2.313251	70792	0.173491795643	0.182713123977	0.182713123977	17330	0.0573818315877	0.0615520780076	0.0615520780076	479683	1.23714067649	1.55540647299	1.55540647299	842927	1.88508092673	2.43355235269	2.43355235269	69042	0.231279545156	0.246238973538	0.246238973538	94207	0.308104884977	0.326072477131	0.326072477131	2	4.23182710616e-06	4.60659320036e-06	4.60659320036e-06	11	2.71917717501e-05	2.90673244317e-05	2.90673244317e-05	122	0.00035669162553	0.000403127197399	0.000403127197399	312	0.0010202886691	0.00110497866785	0.00110497866785	26	6.34540514936e-05	6.91021728662e-05	6.91021728662e-05	60	0.000153825273051	0.000156175175906	0.000156175175906
VAMB_3336	1.987401	71026	0.174065265529	0.213373348452	0.213373348452	50505	0.16722847111	0.208792928973	0.208792928973	11	2.83698764422e-05	4.15163834421e-05	4.15163834421e-05	2	4.47270268181e-06	6.72075368417e-06	6.72075368417e-06	92489	0.309823206917	0.383946547797	0.383946547797	18183	0.059467673565	0.0732544078444	0.0732544078444	758	0.00160386247324	0.00203215264461	0.00203215264461	40716	0.100649107143	0.125231831777	0.125231831777	2379	0.00695548669783	0.00914984980582	0.00914984980582	16101	0.0526527816061	0.0663726877074	0.0663726877074	920	0.0022452972067	0.00284605597667	0.00284605597667	45	0.000115368954789	0.00013633599177	0.00013633599177
VAMB_334	2.351036	15960	0.0391135871068	0.0405304968225	0.0405304968225	20380	0.0674807690569	0.0712216147137	0.0712216147137	191	0.000492604218224	0.000609377509092	0.000609377509092	11	2.45998647499e-05	3.12468967977e-05	3.12468967977e-05	7632	0.0255659669278	0.0267821396125	0.0267821396125	31572	0.103256524764	0.107521803962	0.107521803962	169174	0.357957559429	0.383395458261	0.383395458261	42571	0.105234628652	0.110685238216	0.110685238216	89057	0.260376115531	0.289543492893	0.289543492893	12044	0.0393857587519	0.0419694739714	0.0419694739714	59932	0.146266469774	0.156725839874	0.156725839874	9445	0.0242146617328	0.0241894612026	0.0241894612026
VAMB_3413	1.381408	890	0.00218114614819	0.0038465940854	0.0038465940854	4908	0.0162510115079	0.0291910355969	0.0291910355969	821	0.00211742441446	0.00445793286248	0.00445793286248	1222	0.00273282133858	0.00590775839876	0.00590775839876	738	0.00247218076425	0.00440758384183	0.00440758384183	9779	0.0319823120383	0.0566795256136	0.0566795256136	24247	0.0513045559216	0.0935208985392	0.0935208985392	13926	0.0344247830356	0.0616225343368	0.0616225343368	16325	0.0477294326785	0.0903308819206	0.0903308819206	59776	0.1954768445	0.354508736062	0.354508736062	91790	0.224017207177	0.408521123259	0.408521123259	16678	0.0427582983992	0.0726951630067	0.0726951630067
VAMB_3436	2.267215	36563	0.0896058950744	0.0962847341977	0.0962847341977	4892	0.0161980334753	0.0177280373229	0.0177280373229	13	3.35280357954e-05	4.30093599255e-05	4.30093599255e-05	2	4.47270268181e-06	5.89129508788e-06	5.89129508788e-06	196621	0.65864858272	0.715489692416	0.715489692416	19559	0.063967894586	0.0690728964571	0.0690728964571	54	0.000114259331866	0.000126903522973	0.000126903522973	69	0.000170566568251	0.000186033653797	0.000186033653797	22	6.43214406693e-05	7.41711481412e-05	7.41711481412e-05	55	0.000179858579488	0.00019874309176	0.00019874309176	20	4.88108088412e-05	5.42348450496e-05	5.42348450496e-05	14	3.5892563712e-05	3.71808095377e-05	3.71808095377e-05
VAMB_3602	2.422215	130569	0.319988844295	0.321836805103	0.321836805103	206	0.000682092170055	0.000698749397387	0.000698749397387	6	1.54744780594e-05	1.85802218148e-05	1.85802218148e-05	4	8.94540536362e-06	1.10286102536e-05	1.10286102536e-05	46322	0.155171215937	0.157775948682	0.157775948682	120505	0.394112742834	0.398332833079	0.398332833079	40	8.46365421233e-05	8.79872870684e-05	8.79872870684e-05	24	5.93275020002e-05	6.05666682398e-05	6.05666682398e-05	24	7.01688443665e-05	7.57362119756e-05	7.57362119756e-05	302	0.000987587109189	0.00102144811687	0.00102144811687	50	0.000122027022103	0.000126910755465	0.000126910755465	9	2.30737909577e-05	2.23724389767e-05	2.23724389767e-05
VAMB_3932	1.738875	12688	0.0310948116047	0.0435645393275	0.0435645393275	5269	0.017446328369	0.0248958380495	0.0248958380495	178	0.000459076182429	0.000767828047157	0.000767828047157	11	2.45998647499e-05	4.22471881301e-05	4.22471881301e-05	33324	0.111630015973	0.158108402038	0.158108402038	17442	0.0570442260529	0.08031222277	0.08031222277	111057	0.234987011465	0.340290793212	0.340290793212	2260	0.00558667310502	0.00794465800737	0.00794465800737	91505	0.267533337657	0.402236510965	0.402236510965	177	0.000578817610352	0.00083392493762	0.00083392493762	22340	0.0545216734757	0.0789870545973	0.0789870545973	4368	0.0111984798781	0.0151250834004	0.0151250834004
VAMB_4041	1.930798	76086	0.186465939136	0.23527524387	0.23527524387	42980	0.142312240141	0.182892748327	0.182892748327	120	0.000309489561188	0.000466183329206	0.000466183329206	18	4.02543241363e-05	6.22600051036e-05	6.22600051036e-05	83776	0.280636064642	0.357971925249	0.357971925249	1123	0.0036727821269	0.00465689711672	0.00465689711672	101103	0.213925207957	0.278997188808	0.278997188808	57478	0.142084423332	0.181970060372	0.181970060372	62465	0.182629035973	0.247289075651	0.247289075651	74980	0.245196296182	0.318149067168	0.318149067168	44736	0.109180017216	0.142449662201	0.142449662201	34796	0.0892084033516	0.108511556694	0.108511556694
VAMB_4143	1.615536	167883	0.411435234602	0.620438016493	0.620438016493	17082	0.056560672082	0.0868738348011	0.0868738348011	3	7.7372390297e-06	1.39289040861e-05	1.39289040861e-05	2	4.47270268181e-06	8.2677406091e-06	8.2677406091e-06	7389	0.0247519561884	0.0377342057931	0.0377342057931	47216	0.154420374803	0.234005615476	0.234005615476	0	0.0	0.0	0.0	5	1.235989625e-05	1.89185782498e-05	1.89185782498e-05	10	2.9237018486e-05	4.73138607172e-05	4.73138607172e-05	322	0.001052990229	0.00163290639536	0.00163290639536	23	5.61324301674e-05	8.75290692081e-05	8.75290692081e-05	4	1.02550182034e-05	1.49082567371e-05	1.49082567371e-05
